,place,category,rank
0,1. Golden Temple,religious,1
1,2. Gurudwara Chheharta Sahib,religious,2
2,3. Akal Takht,religious,4
3,4. Gurudwara Mata Kaulan,religious,5
4,5. Gurudwara Bibeksar Sahib,religious,7
5,6. Gurudwara Bir Baba Budha Sahib,religious,9
6,7. Tarn Taran Sahib,religious,10
7,8. Gurudwara Baba Atal Rai,religious,12
8,9. Gurudwara Baba Deep Singh Ji,religious,14
9,10. Gurudwara Goindwal Sahib,religious,15
14,1. Mata Lal Devi Temple,religious,3
15,2. Durgiana Temple,religious,6
16,3. Shri Ram Tirth Temple,religious,11
17,4. ISKCON Temple,religious,13
28,1. Khair-ud-Din Masjid,religious,8
